No;Provinsi;Kabupaten/Kota;Delineasi; Indikasi Alokasi ;Kode Kabupaten/kota
1;ACEH;Kabupaten Simeulue;DJKP; 726 ;1101
2;ACEH;Kabupaten Aceh Singkil;DJPDS; 800 ;1102
3;ACEH;Kabupaten Aceh Selatan;DJPDS; 692 ;1103
4;ACEH;Kabupaten Aceh Tenggara;DJPDS; 522 ;1104
5;ACEH;Kabupaten Aceh Timur;DJPDS; 639 ;1105
6;ACEH;Kabupaten Aceh Tengah;DJPDS; 671 ;1106
7;ACEH;Kabupaten Aceh Barat;DJPDS; 818 ;1107
8;ACEH;Kabupaten Aceh Besar;DJPDS; 805 ;1108
9;ACEH;Kabupaten Pidie;DJPDS; 810 ;1109
10;ACEH;Kabupaten Bireuen;DJPDS; 637 ;1110
11;ACEH;Kabupaten Aceh Utara;DJPDS; 859 ;1111
12;ACEH;Kabupaten Aceh Barat Daya;DJPDS; 629 ;1112
13;ACEH;Kabupaten Gayo Lues;DJPDS; 628 ;1113
14;ACEH;Kabupaten Aceh Tamiang;DJPDS; 633 ;1114
15;ACEH;Kabupaten Nagan Raya;DJPDS; 546 ;1115
16;ACEH;Kabupaten Aceh Jaya;DJPDS; 546 ;1116
17;ACEH;Kabupaten Bener Meriah;DJPDS; 711 ;1117
18;ACEH;Kabupaten Pidie Jaya;DJPDS; 671 ;1118
19;ACEH;Kota Banda Aceh;DJPKT; 516 ;1171
20;ACEH;Kota Sabang;DJKP; 609 ;1172
21;ACEH;Kota Langsa;DJPKT; 594 ;1173
22;ACEH;Kota Lhokseumawe;DJPKT; 670 ;1174
23;ACEH;Kota Subulussalam;DJPDS; 645 ;1175
24;SUMATERA UTARA;Kabupaten Nias;DJPDS; 642 ;1201
25;SUMATERA UTARA;Kabupaten Mandailing Natal;DJPDS; 537 ;1202
26;SUMATERA UTARA;Kabupaten Tapanuli Selatan;DJPDS; 346 ;1203
27;SUMATERA UTARA;Kabupaten Tapanuli Tengah;DJPDS; 676 ;1204
28;SUMATERA UTARA;Kabupaten Tapanuli Utara;DJPDS; 611 ;1205
29;SUMATERA UTARA;Kabupaten Toba;DJPDS; 509 ;1206
30;SUMATERA UTARA;Kabupaten Labuhanbatu;DJPDS; 652 ;1207
31;SUMATERA UTARA;Kabupaten Asahan;DJPKT; 582 ;1208
32;SUMATERA UTARA;Kabupaten Simalungun;DJPDS; 569 ;1209
33;SUMATERA UTARA;Kabupaten Dairi;DJPDS; 561 ;1210
34;SUMATERA UTARA;Kabupaten Karo;DJPDS; 458 ;1211
35;SUMATERA UTARA;Kabupaten Deli Serdang;DJPKT; 518 ;1212
36;SUMATERA UTARA;Kabupaten Langkat;DJPDS; 712 ;1213
37;SUMATERA UTARA;Kabupaten Nias Selatan;DJPDS; 881 ;1214
38;SUMATERA UTARA;Kabupaten Humbang Hasundutan;DJPDS; 457 ;1215
39;SUMATERA UTARA;Kabupaten Pakpak Bharat;DJPDS; 395 ;1216
40;SUMATERA UTARA;Kabupaten Samosir;DJPDS; 556 ;1217
41;SUMATERA UTARA;Kabupaten Serdang Bedagai;DJPDS; 467 ;1218
42;SUMATERA UTARA;Kabupaten Batu Bara;DJPDS; 731 ;1219
43;SUMATERA UTARA;Kabupaten Padang Lawas Utara;DJPDS; 439 ;1220
44;SUMATERA UTARA;Kabupaten Padang Lawas;DJPDS; 409 ;1221
45;SUMATERA UTARA;Kabupaten Labuhanbatu Selatan;DJPDS; 423 ;1222
46;SUMATERA UTARA;Kabupaten Labuhanbatu Utara;DJPDS; 567 ;1223
47;SUMATERA UTARA;Kabupaten Nias Utara;DJPDS; 898 ;1224
48;SUMATERA UTARA;Kabupaten Nias Barat;DJPDS; 814 ;1225
49;SUMATERA UTARA;Kota Sibolga;DJKP; 811 ;1271
50;SUMATERA UTARA;Kota Tanjungbalai;DJPKT; 589 ;1272
51;SUMATERA UTARA;Kota Pematangsiantar;DJPKT; 517 ;1273
52;SUMATERA UTARA;Kota Tebing Tinggi;DJPKT; 533 ;1274
53;SUMATERA UTARA;Kota Medan;DJPKT; 1.054 ;1275
54;SUMATERA UTARA;Kota Binjai;DJPKT; 469 ;1276
55;SUMATERA UTARA;Kota Padangsidimpuan;DJPKT; 470 ;1277
56;SUMATERA UTARA;Kota Gunungsitoli;DJPDS; 815 ;1278
57;SUMATERA BARAT;Kabupaten Kepulauan Mentawai;DJKP; 730 ;1301
58;SUMATERA BARAT;Kabupaten Pesisir Selatan;DJPDS; 505 ;1302
59;SUMATERA BARAT;Kabupaten Solok;DJPDS; 429 ;1303
60;SUMATERA BARAT;Kabupaten Sijunjung;DJPDS; 387 ;1304
61;SUMATERA BARAT;Kabupaten Tanah Datar;DJPDS; 302 ;1305
62;SUMATERA BARAT;Kabupaten Padang Pariaman;DJPDS; 463 ;1306
63;SUMATERA BARAT;Kabupaten Agam;DJPDS; 487 ;1307
64;SUMATERA BARAT;Kabupaten Lima Puluh Kota;DJPDS; 429 ;1308
65;SUMATERA BARAT;Kabupaten Pasaman;DJPDS; 345 ;1309
66;SUMATERA BARAT;Kabupaten Solok Selatan;DJPDS; 429 ;1310
67;SUMATERA BARAT;Kabupaten Dharmasraya;DJPDS; 350 ;1311
68;SUMATERA BARAT;Kabupaten Pasaman Barat;DJPDS; 531 ;1312
69;SUMATERA BARAT;Kota Padang;DJPKT; 581 ;1371
70;SUMATERA BARAT;Kota Solok;DJPKT; 348 ;1372
71;SUMATERA BARAT;Kota Sawahlunto;DJPKT; 240 ;1373
72;SUMATERA BARAT;Kota Padang Panjang;DJPKT; 355 ;1374
73;SUMATERA BARAT;Kota Bukittinggi;DJPKT; 323 ;1375
74;SUMATERA BARAT;Kota Payakumbuh;DJPKT; 373 ;1376
75;SUMATERA BARAT;Kota Pariaman;DJPKT; 381 ;1377
76;RIAU;Kabupaten Kuantan Singingi;DJPDS; 527 ;1401
77;RIAU;Kabupaten Indragiri Hulu;DJPDS; 429 ;1402
78;RIAU;Kabupaten Indragiri Hilir;DJPDS; 529 ;1403
79;RIAU;Kabupaten Pelalawan;DJPDS; 630 ;1404
80;RIAU;Kabupaten Siak;DJPDS; 436 ;1405
81;RIAU;Kabupaten Kampar;DJPDS; 554 ;1406
82;RIAU;Kabupaten Rokan Hulu;DJPDS; 736 ;1407
83;RIAU;Kabupaten Bengkalis;DJPDS; 498 ;1408
84;RIAU;Kabupaten Rokan Hilir;DJPDS; 639 ;1409
85;RIAU;Kabupaten Kepulauan Meranti;DJKP; 991 ;1410
86;RIAU;Kota Pekanbaru;DJPKT; 606 ;1471
87;RIAU;Kota Dumai;DJPKT; 411 ;1473
88;JAMBI;Kabupaten Kerinci;DJPDS; 512 ;1501
89;JAMBI;Kabupaten Merangin;DJPDS; 613 ;1502
90;JAMBI;Kabupaten Sarolangun;DJPDS; 571 ;1503
91;JAMBI;Kabupaten Batang Hari;DJPDS; 635 ;1504
92;JAMBI;Kabupaten Muaro Jambi;DJPDS; 410 ;1505
93;JAMBI;Kabupaten Tanjung Jabung Timur;DJPDS; 556 ;1506
94;JAMBI;Kabupaten Tanjung Jabung Barat;DJPDS; 650 ;1507
95;JAMBI;Kabupaten Tebo;DJPDS; 420 ;1508
96;JAMBI;Kabupaten Bungo;DJPDS; 484 ;1509
97;JAMBI;Kota Jambi;DJPKT; 728 ;1571
98;JAMBI;Kota Sungai Penuh;DJPKT; 375 ;1572
99;SUMATERA SELATAN;Kabupaten Ogan Komering Ulu;DJPDS; 699 ;1601
100;SUMATERA SELATAN;Kabupaten Ogan Komering Ilir;DJPDS; 928 ;1602
101;SUMATERA SELATAN;Kabupaten Muara Enim;DJPDS; 712 ;1603
102;SUMATERA SELATAN;Kabupaten Lahat;DJPDS; 805 ;1604
103;SUMATERA SELATAN;Kabupaten Musi Rawas;DJPDS; 693 ;1605
104;SUMATERA SELATAN;Kabupaten Musi Banyuasin;DJPDS; 725 ;1606
105;SUMATERA SELATAN;Kabupaten Banyuasin;DJPDS; 771 ;1607
106;SUMATERA SELATAN;Kabupaten Ogan Komering Ulu Selatan;DJPDS; 672 ;1608
107;SUMATERA SELATAN;Kabupaten Ogan Komering Ulu Timur;DJPDS; 639 ;1609
108;SUMATERA SELATAN;Kabupaten Ogan Ilir;DJPDS; 692 ;1610
109;SUMATERA SELATAN;Kabupaten Empat Lawang;DJPDS; 658 ;1611
110;SUMATERA SELATAN;Kabupaten Penukal Abab Lematang Ilir;DJPDS; 505 ;1612
111;SUMATERA SELATAN;Kabupaten Musi Rawas Utara;DJPDS; 671 ;1613
112;SUMATERA SELATAN;Kota Palembang;DJPKT; 1.252 ;1671
113;SUMATERA SELATAN;Kota Prabumulih;DJPKT; 680 ;1672
114;SUMATERA SELATAN;Kota Pagar Alam;DJPDS; 484 ;1673
115;SUMATERA SELATAN;Kota Lubuklinggau;DJPKT; 753 ;1674
116;BENGKULU;Kabupaten Bengkulu Selatan;DJPDS; 840 ;1701
117;BENGKULU;Kabupaten Rejang Lebong;DJPDS; 745 ;1702
118;BENGKULU;Kabupaten Bengkulu Utara;DJPDS; 650 ;1703
119;BENGKULU;Kabupaten Kaur;DJPDS; 822 ;1704
120;BENGKULU;Kabupaten Seluma;DJPDS; 874 ;1705
121;BENGKULU;Kabupaten Mukomuko;DJPDS; 666 ;1706
122;BENGKULU;Kabupaten Lebong;DJPDS; 554 ;1707
123;BENGKULU;Kabupaten Kepahiang;DJPDS; 651 ;1708
124;BENGKULU;Kabupaten Bengkulu Tengah;DJPDS; 532 ;1709
125;BENGKULU;Kota Bengkulu;DJPKT; 1.012 ;1771
126;LAMPUNG;Kabupaten Lampung Barat;DJPDS; 754 ;1801
127;LAMPUNG;Kabupaten Tanggamus;DJPDS; 861 ;1802
128;LAMPUNG;Kabupaten Lampung Selatan;DJPKT; 1.023 ;1803
129;LAMPUNG;Kabupaten Lampung Timur;DJPDS; 971 ;1804
130;LAMPUNG;Kabupaten Lampung Tengah;DJPDS; 868 ;1805
131;LAMPUNG;Kabupaten Lampung Utara;DJPDS; 1.086 ;1806
132;LAMPUNG;Kabupaten Way Kanan;DJPDS; 763 ;1807
133;LAMPUNG;Kabupaten Tulang Bawang;DJPDS; 577 ;1808
134;LAMPUNG;Kabupaten Pesawaran;DJPDS; 724 ;1809
135;LAMPUNG;Kabupaten Pringsewu;DJPKT; 578 ;1810
136;LAMPUNG;Kabupaten Mesuji;DJPDS; 421 ;1811
137;LAMPUNG;Kabupaten Tulang Bawang Barat;DJPDS; 434 ;1812
138;LAMPUNG;Kabupaten Pesisir Barat;DJKP; 621 ;1813
139;LAMPUNG;Kota Bandar Lampung;DJPKT; 866 ;1871
140;LAMPUNG;Kota Metro;DJPKT; 452 ;1872
141;KEPULAUAN BANGKA BELITUNG;Kabupaten Bangka;DJPDS; 395 ;1901
142;KEPULAUAN BANGKA BELITUNG;Kabupaten Belitung;DJKP; 339 ;1902
143;KEPULAUAN BANGKA BELITUNG;Kabupaten Bangka Barat;DJKP; 195 ;1903
144;KEPULAUAN BANGKA BELITUNG;Kabupaten Bangka Tengah;DJPDS; 412 ;1904
145;KEPULAUAN BANGKA BELITUNG;Kabupaten Bangka Selatan;DJPDS; 316 ;1905
146;KEPULAUAN BANGKA BELITUNG;Kabupaten Belitung Timur;DJKP; 404 ;1906
147;KEPULAUAN BANGKA BELITUNG;Kota Pangkalpinang;DJPKT; 371 ;1971
148;KEPULAUAN RIAU;Kabupaten Karimun;DJKP; 505 ;2101
149;KEPULAUAN RIAU;Kabupaten Bintan;DJKP; 455 ;2102
150;KEPULAUAN RIAU;Kabupaten Natuna;DJKP; 361 ;2103
151;KEPULAUAN RIAU;Kabupaten Lingga;DJKP; 546 ;2104
152;KEPULAUAN RIAU;Kabupaten Kepulauan Anambas;DJKP; 461 ;2105
153;KEPULAUAN RIAU;Kota Batam;DJKP; 832 ;2171
154;KEPULAUAN RIAU;Kota Tanjung Pinang;DJKP; 527 ;2172
155;DKI JAKARTA;Kabupaten Kepulauan Seribu;DJKP; 555 ;3101
156;DKI JAKARTA;Kota Jakarta Selatan;DJPKT; 910 ;3171
157;DKI JAKARTA;Kota Jakarta Timur;DJPKT; 1.059 ;3172
158;DKI JAKARTA;Kota Jakarta Pusat;DJPKT; 732 ;3173
159;DKI JAKARTA;Kota Jakarta Barat;DJPKT; 980 ;3174
160;DKI JAKARTA;Kota Jakarta Utara;DJPKT; 1.284 ;3175
